"Name","Date","Open","High","Low","Close","Volume"
"BVMF:ABEV3","16/04/2026 16:56:00",15.4,15.58,15.3,15.43,49811600
"BVMF:ABEV3","17/04/2026 16:56:00",15.64,15.77,15.31,15.33,36665400
"BVMF:ABEV3","20/04/2026 16:56:00",15.34,15.47,15.28,15.31,14954700
"BVMF:ABEV3","22/04/2026 16:56:00",15.32,15.41,15,15,26157200
"BVMF:ABEV3","23/04/2026 16:56:00",15,15,14.74,14.74,25435000
"BVMF:ABEV3","24/04/2026 16:56:00",14.72,14.73,14.46,14.5,24151800
"BVMF:ABEV3","27/04/2026 16:56:00",14.62,14.71,14.5,14.54,18935100
"BVMF:ABEV3","28/04/2026 16:56:00",14.41,14.63,14.4,14.58,15614300
"BVMF:ABEV3","29/04/2026 16:56:00",14.51,14.56,14.32,14.33,18123700
"BVMF:ABEV3","30/04/2026 16:56:00",14.36,14.64,14.36,14.51,26546800
"BVMF:ABEV3","04/05/2026 16:56:00",14.57,14.62,14.43,14.44,21318400
"BVMF:WEGE3","06/04/2026 16:56:00",50.31,50.91,50.07,50.62,2617700
"BVMF:WEGE3","07/04/2026 16:56:00",50.23,50.74,49.54,50.65,3983500
"BVMF:WEGE3","08/04/2026 16:56:00",52.24,52.9,51.92,52.77,10118800
"BVMF:WEGE3","09/04/2026 16:56:00",52.55,52.87,51.9,52.5,6218000
"BVMF:WEGE3","10/04/2026 16:56:00",52.5,53.34,52.31,52.88,6331700
"BVMF:WEGE3","13/04/2026 16:56:00",52.77,52.88,52.04,52.04,5536700
"BVMF:WEGE3","14/04/2026 16:56:00",52.29,52.35,50.59,51.9,11897600
"BVMF:WEGE3","15/04/2026 16:56:00",51.9,52.1,49.31,49.96,14915400
"BVMF:WEGE3","16/04/2026 16:56:00",50.2,50.25,48.16,48.4,10979400
"BVMF:WEGE3","17/04/2026 16:56:00",49.1,49.95,48.6,48.65,9369900
"BVMF:WEGE3","20/04/2026 16:56:00",48.75,49.02,48.24,48.48,4448400
"BVMF:WEGE3","22/04/2026 16:56:00",48.28,48.93,46.62,47.19,10210700
"BVMF:WEGE3","23/04/2026 16:56:00",47.46,49.05,47.3,48.28,10526700
"BVMF:WEGE3","24/04/2026 16:56:00",48.63,48.63,47.37,47.8,5113600
"BVMF:WEGE3","27/04/2026 16:56:00",47.88,48.51,47.62,48.19,5188300
"BVMF:WEGE3","28/04/2026 16:56:00",47.7,48,47.01,47.29,6446500
"BVMF:WEGE3","29/04/2026 16:56:00",46.02,46.79,43.9,44.1,18546300
"BVMF:WEGE3","30/04/2026 16:56:00",44.32,45.46,44.1,44.86,11343400
"BVMF:WEGE3","04/05/2026 16:56:00",44.92,45.12,44.03,44.36,7037600
"BVMF:MGLU3","06/04/2026 16:56:00",8.8,9,8.66,8.82,13342900
"BVMF:MGLU3","07/04/2026 16:56:00",8.74,8.94,8.58,8.78,12038500
"BVMF:MGLU3","08/04/2026 16:56:00",9.34,9.52,8.95,8.95,18316300
"BVMF:MGLU3","09/04/2026 16:56:00",9.03,9.25,8.95,9.23,14711600
"BVMF:MGLU3","10/04/2026 16:56:00",9.35,9.47,9.03,9.15,13301800
"BVMF:MGLU3","13/04/2026 16:56:00",8.95,9.37,8.92,9.21,14389900
"BVMF:MGLU3","14/04/2026 16:56:00",9.3,9.47,9.16,9.25,13395600
"BVMF:MGLU3","15/04/2026 16:56:00",9.23,9.42,9.18,9.39,12868500
"BVMF:MGLU3","16/04/2026 16:56:00",9.44,9.44,9.18,9.25,12966700
"BVMF:MGLU3","17/04/2026 16:56:00",9.38,9.76,9.21,9.29,18950900
"BVMF:MGLU3","20/04/2026 16:56:00",9.27,9.41,9.12,9.35,14635000
"BVMF:MGLU3","22/04/2026 16:56:00",9.28,9.32,8.95,8.95,12795800
"BVMF:MGLU3","23/04/2026 16:56:00",8.98,9.02,8.63,8.65,12084000
"BVMF:MGLU3","24/04/2026 16:56:00",8.71,8.76,8.53,8.73,9917800
"BVMF:MGLU3","27/04/2026 16:56:00",8.69,8.77,8.47,8.53,8331300
"BVMF:MGLU3","28/04/2026 16:56:00",8.5,8.61,8.4,8.54,10183500
"BVMF:MGLU3","29/04/2026 16:56:00",8.53,8.58,8.08,8.08,14208700
"BVMF:MGLU3","30/04/2026 16:56:00",8.29,8.35,8.08,8.23,17525600
"BVMF:MGLU3","04/05/2026 16:56:00",8.25,8.34,7.99,8,14398300
"BVMF:SUZB3","06/04/2026 16:56:00",50.91,50.99,49.37,49.6,5941000
"BVMF:SUZB3","07/04/2026 16:56:00",49.39,49.39,46.36,46.43,46567200
"BVMF:SUZB3","08/04/2026 16:56:00",47.02,47.58,46.45,47.34,11557300
"BVMF:SUZB3","09/04/2026 16:56:00",47.2,48.1,47.1,47.6,7089200
"BVMF:SUZB3","10/04/2026 16:56:00",47.89,48.28,46.98,47.16,5970000
"BVMF:SUZB3","13/04/2026 16:56:00",47.19,47.8,46.92,47.8,6951400
"BVMF:SUZB3","14/04/2026 16:56:00",47.87,48.65,47.51,48.51,11894900
"BVMF:SUZB3","15/04/2026 16:56:00",48.74,48.74,47.5,47.83,11085200
"BVMF:SUZB3","16/04/2026 16:56:00",47.97,48.15,47.46,47.53,8122800
"BVMF:SUZB3","17/04/2026 16:56:00",48.06,48.66,47.14,47.93,8265700
"BVMF:SUZB3","20/04/2026 16:56:00",47.93,48.1,47.5,47.8,4213700
"BVMF:SUZB3","22/04/2026 16:56:00",48.03,48.58,47.33,47.35,4628200
"BVMF:SUZB3","23/04/2026 16:56:00",47.45,47.47,46.51,46.69,7248700
